职位分类,关键词,工作名称,公司名称,地区,学历,薪资,经验要求,公司性质,公司规模,工作类型
其他计算机职位,计算机,计算机与财务融合专员,陕西鸿信会计师事务所有限责任公司,西安,本科,4000-8000,1-3年,其它,100-299人,全职
其他计算机职位,计算机,计算机整机组装技术员,,西安,本科,4000-6000,1-3年,民营,,全职
其他计算机职位,计算机,计算机安全管理员,陕西鸿信会计师事务所有限责任公司,西安,大专,5000-7000,1-3年,民营,20-99人,全职
其他计算机职位,计算机,计算机硬件维护工程师网络客服,西安恒基光电科技有限责任公司,西安,大专,8000-9000,1-3年,上市公司,,全职
其他计算机职位,计算机,专利代理人（电学/通信/计算机/机械）,,西安,大专,7000-14000,1-3年,民营,100-299人,全职
其他计算机职位,计算机,急招电脑/计算机维修月入1.5W+单量多可小白 西安,西安恒基光电科技有限责任公司,西安,大专,8000-13000,无经验,民营,,全职
其他计算机职位,计算机,计算机二级讲师,北京雷格讯电子股份有限公司,北京,本科,1500-3000,1-3年,民营,1000-9999人,全职
其他计算机职位,计算机,计算机设备维护专员,,西安,本科,5000-7000,无经验,民营,,全职
其他计算机职位,计算机,计算机信息类专业教师,北京雷格讯电子股份有限公司,北京,本科,6000-10000,无经验,民营,100-299人,全职
其他计算机职位,计算机,计算机安全保密管理员,恒银金融科技股份有限公司,西安,本科,6000-8000,5-10年,民营,,全职
其他计算机职位,计算机,计算机二级讲师,,西安,不限,1000-2000,无经验,民营,1000-9999人,全职
其他计算机职位,计算机,计算机硬件维护工程师和销售主管,恒银金融科技股份有限公司,西安,不限,7000-8000,1-3年,上市公司,,全职
其他计算机职位,计算机,计算机硬件维护专员,北京国昊天诚知识产权代理有限公司,北京,本科,5000-8000,无经验,民营,20-99人,兼职/临时
其他计算机职位,计算机,网络及计算机硬件维护工程师,,西安,本科,7000-9000,1-3年,上市公司,,兼职/临时
其他计算机职位,计算机,计算机硬件维护工程师,北京国昊天诚知识产权代理有限公司,北京,大专,13000-14000,1年以下,上市公司,20-99人,全职
其他计算机职位,计算机,AI工程师-计算机视觉、自然语言处理、大模型（华为26届校招）,重庆啄木鸟网络科技有限公司,重庆,大专,,无经验,民营,,全职
其他计算机职位,计算机,计算机代课教师,,西安,硕士,4000-8000,1-3年,民营,500-999人,全职
其他计算机职位,计算机,计算机高级工程师,重庆啄木鸟网络科技有限公司,重庆,硕士,10000-13000,3-5年,民营,,全职
其他计算机职位,计算机,加固计算机产品经理,西安市新城区青鸟职业技能培训学校有限公司,西安,本科,10000-20000,3-5年,其它,20-99人,全职
其他计算机职位,计算机,招普工/操作工 月入8000（提供低价住宿 包住）,,西安,本科,6000-8000,1-3年,,,全职
其他计算机职位,计算机,国内专利代理人（计算机/通讯/半导体）,北京弘权知识产权代理有限公司,北京,本科,8000-12000,1-3年,民营,20-99人,全职
其他计算机职位,计算机,计算机硬件工程师 4K-8K,,西安,本科,4000-8000,无经验,民营,,全职
其他计算机职位,计算机,计算机视觉算法工程师,北京弘权知识产权代理有限公司,北京,大专,15000-25000,3-5年,股份制企业,20人以下,全职
其他计算机职位,计算机,计算机类高校教师,西安埔和科技有限公司,西安,大专,8000-11000,无经验,学校/下级学院,,全职
其他计算机职位,计算机,计算机教师,,西安,硕士,3001-6000,无经验,学校/下级学院,100-299人,全职
其他计算机职位,计算机,计算机数值仿真工程师,西安埔和科技有限公司,西安,硕士,8000-12000,无经验,股份制企业,,全职
其他计算机职位,计算机,计算机类，电子信息类，航空航天类等专任教师,陕西海嵘工程科技集团股份有限公司,西安,硕士,8000-13000,无经验,学校/下级学院,500-999人,全职
其他计算机职位,计算机,计算机视觉算法工程师,,西安,硕士,8000-16000,1-3年,民营,,全职
其他计算机职位,计算机,计算机类教师（工作地点泾阳校区）,陕西海嵘工程科技集团股份有限公司,西安,本科,5000-8000,无经验,民营,300-499人,兼职/临时
其他计算机职位,计算机,408计算机老师（文都考研）,西安明德理工学院,西安,本科,6001-10000,3-5年,股份制企业,,兼职/临时
其他计算机职位,计算机,计算机销售工程师,,西安,硕士,8000-16000,无经验,民营,20-99人,全职
其他计算机职位,计算机,计算机软件开发工程师,西安明德理工学院,西安,硕士,10000-20000,3-5年,民营,,全职
其他计算机职位,计算机,销售客服（智能计算机销售+双休+三桥地铁口）,西安轨道交通技师学院,西安,硕士,5000-9000,1-3年,民营,500-999人,全职
其他计算机职位,计算机,计算机服务器销售,,西安,硕士,7000-14000,无经验,民营,,全职
其他计算机职位,计算机,文员4000（纯电脑操作员）五险一金,西安轨道交通技师学院,西安,本科,4000-5000,无经验,民营,20-99人,全职
其他计算机职位,计算机,计算机销售经理（三桥地铁口+双休+轻松地工作氛围）,西安马克医疗科技有限公司,西安,本科,6000-9000,1-3年,民营,,全职
其他计算机职位,计算机,清闲整整资料电脑打字文职 双休交社保,,西安,硕士,4000-7000,无经验,上市公司,10000人以上,全职
其他计算机职位,计算机,光伏电站运维人员,西安马克医疗科技有限公司,西安,硕士,5000-8000,无经验,,,全职
其他计算机职位,计算机,手机电脑 闲聊 不露脸,西安信息职业大学,西安,硕士,9000-16000,无经验,,1000-9999人,兼职/临时
其他计算机职位,计算机,京东直招手机电脑维修工程师 六险一金6k-9k,,西安,硕士,5000-6000,1-3年,合资,,兼职/临时
其他计算机职位,计算机,急招普工/操作工-月入6000（热水器-包住）,陕西中锐志诚人力资源有限公司,西安,不限,4000-6000,无经验,,300-499人,全职
其他计算机职位,计算机,曲江京东MALL店员-惠普电脑,西安秦明光电仪器厂,西安,不限,5000-7000,无经验,股份制企业,,全职
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,陕西中锐志诚人力资源有限公司,西安,不限,2000-4000,无经验,合资,20-99人,全职
其他计算机职位,计算机,招普工/操作工 餐补,北京易微管理咨询有限公司,北京,不限,4000-5000,无经验,民营,,全职
其他计算机职位,计算机,金都电脑导购,,西安,中专/中技,6000-8000,1-3年,,10000人以上,兼职/临时
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,北京易微管理咨询有限公司,北京,中专/中技,2000-4000,无经验,合资,,兼职/临时
其他计算机职位,计算机,软件助教,京东集团,西安,不限,4000-7000,无经验,股份制企业,20-99人,全职
其他计算机职位,计算机,应届毕业生招聘,,西安,不限,11000-17000,无经验,国企,,全职
其他计算机职位,计算机,居家客服（需电脑，无需个人电话）,京东集团,西安,不限,2000-4000,无经验,合资,100-299人,全职
其他计算机职位,计算机,战略合作经理,陕西弘丰人力资源服务有限公司,西安,不限,8000-10000,3-5年,国企,,全职
其他计算机职位,计算机,电脑渠道销售+双休,,西安,中专/中技,4000-8000,1-3年,民营,10000人以上,兼职/临时
人工智能工程师,人工智能,人工智能课程销售顾问,西安揽星河教育科技有限公司,西安,不限,4000-8000,无经验,民营,20人以下,全职
人工智能工程师,人工智能,月薪5K-7K 人工智能企业直签 每天接听35个电话,,西安,不限,5000-7000,无经验,民营,,全职
人工智能工程师,人工智能,Ai人工智能教育,西安揽星河教育科技有限公司,西安,大专,12000-24000,1-3年,,1000-9999人,全职
人工智能工程师,人工智能,机器人人工智能算法工程师,河北佰绍电子科技有限公司柳州分公司,西安,大专,21000-25000,1-3年,民营,,全职
人工智能工程师,人工智能,人工智能开发,某互联网公司,西安,不限,14000-20000,3-5年,国企,20人以下,全职
人工智能工程师,人工智能,人工智能工程师/算法工程师,河北佰绍电子科技有限公司柳州分公司,西安,不限,9000-18000,1-3年,民营,,全职
人工智能工程师,人工智能,人工智能专家,西安雅杰动力企业管理咨询有限公司,西安,本科,30000-60000,10年以上,民营,20-99人,全职
人工智能工程师,人工智能,sass软件销售/ai人工智能（可接受应届生）,,西安,本科,8000-15000,无经验,民营,,全职
人工智能工程师,人工智能,人工智能大学讲师,西安雅杰动力企业管理咨询有限公司,西安,本科,8000-12000,5-10年,股份制企业,100-299人,全职
人工智能工程师,人工智能,人工智能讲师,陕西安悦智能科技集团有限公司,西安,本科,14000-25000,5-10年,上市公司,,全职
人工智能工程师,人工智能,人工智能课程顾问,,西安,本科,7000-12000,3-5年,股份制企业,20-99人,全职
人工智能工程师,人工智能,人工智能算法工程师,陕西安悦智能科技集团有限公司,西安,本科,10000-18000,无经验,民营,,全职
人工智能工程师,人工智能,人工智能算法工程师--西安,陕西大秦电能集团有限公司信息通信分公司,西安,博士,12000-18000,3-5年,上市公司,500-999人,全职
人工智能工程师,人工智能,Ai人工智能工程师,,西安,博士,7000-14000,1-3年,民营,,全职
人工智能工程师,人工智能,人工智能工程师,陕西大秦电能集团有限公司信息通信分公司,西安,大专,5000-8000,无经验,,500-999人,全职
人工智能工程师,人工智能,人工智能平台开发,向南科技,西安,大专,20000-40000,3-5年,民营,,全职
人工智能工程师,人工智能,人工智能算法工程师,,西安,本科,15000-30000,无经验,民营,1000-9999人,全职
人工智能工程师,人工智能,会计主管（人工智能版块）,向南科技,西安,本科,6000-8000,5-10年,民营,,全职
人工智能工程师,人工智能,人工智能专家(博士 福建福州办公）,西安李文人力资源管理有限公司,西安,硕士,30000-60000,5-10年,民营,1000-9999人,全职
人工智能工程师,人工智能,2026校招应届生—人工智能岗,某科技公司,西安,硕士,4000-7000,无经验,民营,,全职
人工智能工程师,人工智能,ai人工智能算法工程师,甘肃金益通绩效评价咨询服务有限公司,西安,本科,10000-20000,1-3年,民营,20-99人,全职
人工智能工程师,人工智能,人工智能算法工程师,,西安,本科,18000-30000,无经验,,,全职
人工智能工程师,人工智能,人工智能技术总监,甘肃金益通绩效评价咨询服务有限公司,西安,高中,60000-80000,10年以上,民营,100-299人,全职
人工智能工程师,人工智能,电子类、控制类、电气自动化、人工智能类教师,西安达内优创信息科技有限公司第一分公司,西安,高中,8000-13000,无经验,学校/下级学院,,全职
人工智能工程师,人工智能,k12普教人工智能教育渠道销售（陕西 新疆 宁夏）,,西安,硕士,6000-9000,3-5年,其它,500-999人,全职
人工智能工程师,人工智能,人工智能研发工程师(J12962),西安达内优创信息科技有限公司第一分公司,西安,硕士,,5-10年,国企,,全职
人工智能工程师,人工智能,人工智能专家,陕西亨泰利企业管理集团有限公司,西安,硕士,20000-30000,3-5年,民营,500-999人,全职
人工智能工程师,人工智能,系统研发工程师（人工智能方向）,,西安,硕士,18000-25000,3-5年,国企,,全职
人工智能工程师,人工智能,人工智能开发,陕西亨泰利企业管理集团有限公司,西安,本科,10000-20000,无经验,民营,20-99人,全职
人工智能工程师,人工智能,人工智能设备维护,西安信息职业大学,西安,本科,5000-6000,无经验,民营,,全职
人工智能工程师,人工智能,人工智能首席专家,,西安,本科,40000-80000,5-10年,民营,1000-9999人,全职
人工智能工程师,人工智能,人工智能研究员,西安信息职业大学,西安,本科,5000-8000,无经验,国企,,全职
人工智能工程师,人工智能,算法工程师（大模型、机器学习/深度学习、Python）,甘肃逻思智造科技有限公司,西安,博士,11000-14000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,机器视觉工程师,,西安,博士,4000-6000,无经验,民营,,全职
人工智能工程师,人工智能,ai算法工程师,甘肃逻思智造科技有限公司,西安,硕士,14000-20000,5-10年,民营,1000-9999人,全职
人工智能工程师,人工智能,camera工程师（双休+公积金全额）,联通数字科技有限公司,西安,硕士,13000-23000,1-3年,上市公司,,全职
人工智能工程师,人工智能,ios移动开发工程师,,西安,本科,11000-20000,1-3年,民营,20-99人,全职
人工智能工程师,人工智能,大模型应用工程师（五险一金+重点项目资源）,联通数字科技有限公司,西安,本科,11000-15000,1-3年,国企,,全职
人工智能工程师,人工智能,算法工程师（电力方向）,融域智慧(西安)智能科技有限公司,西安,大专,10000-15000,1-3年,股份制企业,20-99人,全职
人工智能工程师,人工智能,规划算法工程师,,西安,大专,10000-20000,3-5年,事业单位,,全职
人工智能工程师,人工智能,售前工程师,中译语通科技(陕西)有限公司,西安,本科,11000-20000,5-10年,国企,20-99人,全职
人工智能工程师,人工智能,心电算法专家(西安)（可重复投递）,,西安,本科,10000-20000,无经验,民营,,全职
人工智能工程师,人工智能,AI算法/机器学习/大模型（算法工程师）,中译语通科技(陕西)有限公司,西安,本科,15000-30000,无经验,合资,1000-9999人,全职
人工智能工程师,人工智能,光谱遥感算法（水质方向）,东华医为科技有限公司,西安,本科,8000-13000,无经验,民营,,全职
人工智能工程师,人工智能,高级算法工程师,,西安,本科,15000-25000,3-5年,民营,10000人以上,全职
人工智能工程师,人工智能,AI软件开发工程师,东华医为科技有限公司,西安,本科,14000-24000,无经验,合资,,全职
人工智能工程师,人工智能,机器视觉算法工程师（西安实习）,外企德科数字技术有限公司,西安,本科,4600-5200,无经验,上市公司,20-99人,全职
人工智能工程师,人工智能,ai解决方案工程师,华为技术有限公司,西安,本科,12000-20000,3-5年,合资,,全职
人工智能工程师,人工智能,机器视觉售后技术支持工程师,外企德科数字技术有限公司,西安,本科,13000-25000,5-10年,合资,20-99人,全职
人工智能工程师,人工智能,算法工程师,北京理加联合科技有限公司,北京,本科,8000-10000,无经验,上市公司,,全职
人工智能工程师,人工智能,机器人-算法工程师（机器视觉-AI-西安）,,西安,本科,15000-25000,1-3年,上市公司,10000人以上,全职
人工智能工程师,人工智能,算法工程师,北京理加联合科技有限公司,北京,本科,15000-30000,无经验,合资,,全职
人工智能工程师,人工智能,销售主管,西安多普多信息科技有限公司,西安,本科,8000-16000,1-3年,民营,10000人以上,实习
人工智能工程师,人工智能,AI模型部署及服务化工程师,,西安,本科,12000-18000,3-5年,股份制企业,,实习
人工智能工程师,人工智能,算法/AI工程师,西安多普多信息科技有限公司,西安,本科,12000-20000,无经验,合资,100-299人,全职
人工智能工程师,人工智能,算法工程师,外企德科数字技术有限公司,西安,本科,15000-20000,5-10年,股份制企业,,全职
人工智能工程师,人工智能,AI算法工程师,华为技术有限公司,西安,本科,12000-18000,3-5年,股份制企业,10000人以上,全职
人工智能工程师,人工智能,AI开发工程师,外企德科数字技术有限公司,西安,本科,15000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,大模型应用工程师,杭州海康威视数字技术股份有限公司,杭州,硕士,10000-20000,3-5年,民营,500-999人,校园
人工智能工程师,人工智能,HJ-NLP算法工程师（西安）,,西安,硕士,16000-22000,无经验,民营,,校园
人工智能工程师,人工智能,AI大模型应用开发工程师,北京国基科技股份有限公司,北京,硕士,16000-24000,无经验,民营,100-299人,全职
人工智能工程师,人工智能,自然学科领域专家,,西安,硕士,19000-20000,无经验,股份制企业,,全职
人工智能工程师,人工智能,HJ-大模型算法工程师（西安）,北京国基科技股份有限公司,北京,本科,16000-22000,无经验,民营,1000-9999人,全职
人工智能工程师,人工智能,算法工程师（AI大模型应用）,博彦科技承德有限公司,西安,本科,15000-20000,5-10年,国企,,全职
人工智能工程师,人工智能,图像算法工程师,,西安,本科,20000-25000,无经验,民营,500-999人,全职
人工智能工程师,人工智能,自然学科领域专家,博彦科技承德有限公司,西安,本科,19000-20000,无经验,股份制企业,,全职
人工智能工程师,人工智能,软件开发工程师/AI软件工程师,北京万维盈创科技发展有限公司,北京,本科,,无经验,民营,100-299人,全职
人工智能工程师,人工智能,算法工程师,,西安,本科,20000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,NLP工程师,北京万维盈创科技发展有限公司,北京,博士,7000-10000,无经验,合资,1000-9999人,全职
人工智能工程师,人工智能,26届秋招-华为云-AI类,陕西云创网络科技股份有限公司,西安,博士,,无经验,民营,,全职
人工智能工程师,人工智能,智能开发岗,,西安,硕士,12000-16000,5-10年,国企,1000-9999人,全职
人工智能工程师,人工智能,视觉工程师,陕西云创网络科技股份有限公司,西安,硕士,8000-15000,1-3年,股份制企业,,全职
人工智能工程师,人工智能,飞控算法工程师,西安华泽人力资源管理咨询有限公司,西安,本科,20000-30000,无经验,民营,10000人以上,校园
人工智能工程师,人工智能,大模型算法工程师,某大型公司,西安,本科,20000-25000,3-5年,上市公司,,校园
人工智能工程师,人工智能,高级ai算法工程师,西安华泽人力资源管理咨询有限公司,西安,硕士,18000-25000,5-10年,民营,1000-9999人,全职
人工智能工程师,人工智能,影像评测,博彦科技承德有限公司,西安,硕士,120-130,无经验,民营,,全职
人工智能工程师,人工智能,图像算法工程师,,西安,本科,10000-18000,3-5年,民营,10000人以上,全职
人工智能工程师,人工智能,Ai应用研发工程师（高级）,博彦科技承德有限公司,西安,本科,20000-30000,5-10年,民营,,全职
人工智能工程师,人工智能,图像处理算法工程师,华为技术有限公司,西安,本科,7000-8000,3-5年,国企,10000人以上,校园
人工智能工程师,人工智能,H82087岗大模型开发,,西安,本科,13000-17000,3-5年,民营,,校园
人工智能工程师,人工智能,Ai应用开发（中级）,陕西成睿科技有限责任公司,西安,本科,15000-25000,无经验,民营,20-99人,全职
人工智能工程师,人工智能,图像算法实习生,,西安,本科,150-200,无经验,民营,,全职
人工智能工程师,人工智能,ai算法工程师,陕西成睿科技有限责任公司,西安,本科,22000-30000,3-5年,民营,500-999人,实习
人工智能工程师,人工智能,H81790岗 大模型开发,西安奇维科技有限公司,西安,本科,10000-16000,无经验,民营,,实习
人工智能工程师,人工智能,ai数据分析工程师,,西安,本科,22000-29000,1-3年,股份制企业,1000-9999人,全职
人工智能工程师,人工智能,高级算法工程师,西安奇维科技有限公司,西安,本科,20000-30000,3-5年,民营,,全职
人工智能工程师,人工智能,AI 技术讲师,润芯微科技(江苏)有限公司,西安,本科,10000-20000,1-3年,股份制企业,1000-9999人,全职
人工智能工程师,人工智能,大模型算法工程师,,西安,本科,12000-16000,无经验,国企,,全职
人工智能工程师,人工智能,算法工程师,润芯微科技(江苏)有限公司,西安,本科,10000-15000,5-10年,民营,300-499人,全职
人工智能工程师,人工智能,ai算法工程师,武汉佰钧成技术有限责任公司,武汉,本科,11000-13000,1-3年,股份制企业,,全职
人工智能工程师,人工智能,c++图像算法工程师,,西安,硕士,10000-15000,3-5年,股份制企业,20-99人,全职
人工智能工程师,人工智能,教学副院长,武汉佰钧成技术有限责任公司,武汉,硕士,8000-10000,5-10年,民营,,全职
人工智能工程师,人工智能,算法工程师,西安长天长软件股份有限公司,西安,不限,8000-10000,1-3年,民营,20-99人,全职
人工智能工程师,人工智能,测量算法工程师,,西安,不限,10000-15000,无经验,股份制企业,,全职
人工智能工程师,人工智能,Linux运维助教讲师,西安长天长软件股份有限公司,西安,本科,10000-12000,无经验,股份制企业,1000-9999人,全职
人工智能工程师,人工智能,天文导航视觉图像处理,融域智慧(西安)智能科技有限公司,西安,本科,15000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,AI研发工程师,,西安,本科,10000-20000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,算法工程师（本科，理工科--大模型、机器学习/深度学习、Python）,融域智慧(西安)智能科技有限公司,西安,本科,10000-15000,1-3年,民营,,全职
人工智能工程师,人工智能,AI大模型维护（华为项目稳定/技术支持）,西安鸥鹏互联科技有限公司,西安,本科,10000-20000,1-3年,民营,100-299人,全职
人工智能工程师,人工智能,ai算法工程师,,西安,本科,10000-20000,1-3年,上市公司,,全职
人工智能工程师,人工智能,机器视觉打光工程师,西安获德,西安,本科,7000-12000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,销售经理（运维）,,西安,本科,5000-7000,无经验,民营,,全职
人工智能工程师,人工智能,AI Agent应用工程师,西安获德,西安,大专,15000-30000,3-5年,民营,100-299人,全职
人工智能工程师,人工智能,AI大模型研发工程师,东升耘智科技有限公司,西安,大专,30000-50000,1-3年,民营,,全职
人工智能工程师,人工智能,AI工程师-计算机视觉、自然语言处理、大模型（华为26届校招）,,西安,本科,,无经验,民营,20-99人,全职
人工智能工程师,人工智能,算法工程师-西安康复,东升耘智科技有限公司,西安,本科,15000-20000,1-3年,国企,,全职
人工智能工程师,人工智能,AI智能体制作,西安多普多信息科技有限公司,西安,本科,6000-10000,1-3年,民营,20-99人,全职
人工智能工程师,人工智能,AI算法工程师（信号处理方向）,,西安,本科,20000-25000,1-3年,民营,,全职
人工智能工程师,人工智能,camera调试工程师,西安多普多信息科技有限公司,西安,本科,15000-28000,3-5年,上市公司,10000人以上,校园
人工智能工程师,人工智能,AI多领域开发工程师（本部办公+双休+13薪）,西安德朴智联科技有限公司,西安,本科,,3-5年,上市公司,,校园
人工智能工程师,人工智能,超声波雷达算法工程师,,西安,本科,13000-18000,1-3年,民营,1000-9999人,全职
人工智能工程师,人工智能,算法工程师,西安德朴智联科技有限公司,西安,本科,8000-16000,无经验,民营,,全职
人工智能工程师,人工智能,外资银行-AS400,华为技术有限公司,西安,本科,15000-18000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,AI图像识别算法工程师,,西安,本科,17000-30000,无经验,民营,,全职
人工智能工程师,人工智能,信号处理算法工程师,华为技术有限公司,西安,硕士,10000-18000,1-3年,合资,100-299人,全职
人工智能工程师,人工智能,ai图像算法工程师,山东新华医疗器械股份有限公司,西安,硕士,15000-20000,5-10年,民营,,全职
人工智能工程师,人工智能,算法工程师,,西安,不限,15000-25000,无经验,民营,1000-9999人,全职
人工智能工程师,人工智能,AI Agent/微调研发工程师,山东新华医疗器械股份有限公司,西安,不限,150-200,无经验,民营,,全职
人工智能工程师,人工智能,算法工程师,西安文爱电子科技有限公司,西安,本科,9000-18000,1-3年,民营,10000人以上,全职
人工智能工程师,人工智能,大模型算法工程师,,西安,本科,12000-20000,5-10年,,,全职
人工智能工程师,人工智能,大客户经理 销售经理,西安华思博展览装饰工程有限公司,西安,大专,9000-15000,1年以下,民营,20-99人,全职
人工智能工程师,人工智能,Camera Hal工程师,,西安,大专,15000-20000,3-5年,民营,,全职
人工智能工程师,人工智能,ai架构师,西安华思博展览装饰工程有限公司,西安,大专,20000-40000,3-5年,股份制企业,500-999人,全职
人工智能工程师,人工智能,ai算法工程师（工业方向）,箴言科技(陕西)有限责任公司,西安,大专,20000-30000,5-10年,民营,,全职
人工智能工程师,人工智能,ai算法工程师,,西安,硕士,20000-30000,3-5年,民营,10000人以上,全职
人工智能工程师,人工智能,AI算法工程师,箴言科技(陕西)有限责任公司,西安,硕士,20000-40000,3-5年,,,全职
人工智能工程师,人工智能,AI架构师,远元集团,西安,本科,20000-30000,5-10年,股份制企业,20-99人,全职
人工智能工程师,人工智能,算法工程师,,西安,本科,18000-30000,5-10年,民营,,全职
人工智能工程师,人工智能,AI大模型开发工程师,远元集团,西安,硕士,15000-25000,3-5年,民营,500-999人,全职
人工智能工程师,人工智能,强化学习算法工程师,和隆优化,西安,硕士,12000-24000,3-5年,事业单位,,全职
人工智能工程师,人工智能,算法,,西安,硕士,10000-15000,无经验,民营,20-99人,全职
人工智能工程师,人工智能,大客户销售代表,和隆优化,西安,硕士,6000-10000,3-5年,民营,,全职
人工智能工程师,人工智能,雷达信号算法工程师,陕西亨泰利企业管理集团有限公司,西安,硕士,25000-35000,3-5年,民营,10000人以上,全职
人工智能工程师,人工智能,AI架构师,,西安,硕士,20000-30000,5-10年,股份制企业,,全职
人工智能工程师,人工智能,大模型开发工程师,陕西亨泰利企业管理集团有限公司,西安,本科,15000-25000,5-10年,民营,300-499人,全职
人工智能工程师,人工智能,大模型算法技术支持,北京国渔科技有限公司,北京,本科,6000-9000,无经验,合资,,全职
人工智能工程师,人工智能,智能计算工程师,,西安,本科,12000-24000,3-5年,国企,100-299人,全职
人工智能工程师,人工智能,算法工程师,北京国渔科技有限公司,北京,本科,15000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,AI算法高级经理（集团）(050140),远元集团,西安,本科,25000-40000,5-10年,股份制企业,300-499人,全职
人工智能工程师,人工智能,遥感影像解译工程师,,西安,本科,7000-14000,1-3年,其它,,全职
人工智能工程师,人工智能,区域负责人,陕西天润生物科技工程有限公司,西安,本科,8000-14000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,算法工程师,,西安,本科,10000-20000,1-3年,民营,,全职
人工智能工程师,人工智能,图像算法工程师,陕西天润生物科技工程有限公司,西安,硕士,16000-30000,3-5年,民营,300-499人,全职
人工智能工程师,人工智能,AI算法工程师,思安新能源股份有限公司,西安,硕士,15000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,算法工程师,,西安,硕士,12000-24000,1-3年,民营,100-299人,全职
人工智能工程师,人工智能,仪器仪表安装工程师——西安,思安新能源股份有限公司,西安,硕士,6000-8000,1-3年,民营,,全职
人工智能工程师,人工智能,图像处理算法工程师,重庆中科摇橹船信息科技有限公司,重庆,本科,15000-20000,3-5年,国企,500-999人,全职
人工智能工程师,人工智能,AI智能体开发,,西安,本科,12000-20000,5-10年,,,全职
人工智能工程师,人工智能,深度学习,重庆中科摇橹船信息科技有限公司,重庆,本科,9000-13000,1-3年,民营,300-499人,全职
人工智能工程师,人工智能,研发实习生,西安格蒂电力有限公司,西安,本科,100-120,无经验,国企,,全职
人工智能工程师,人工智能,大模型开发工程师,,西安,大专,15000-25000,3-5年,民营,20-99人,全职
人工智能工程师,人工智能,CAE求解器算法工程师（结构/固体力学）,西安格蒂电力有限公司,西安,大专,25000-35000,3-5年,民营,,全职
人工智能工程师,人工智能,ai算法工程师实习生,思安新能源股份有限公司,西安,本科,3000-4000,1年以下,外商独资,20-99人,全职
人工智能工程师,人工智能,脑电信号处理高级算法工程师,,西安,本科,20000-30000,5-10年,上市公司,,全职
人工智能工程师,人工智能,CAE研发工程师（多体动力学）,思安新能源股份有限公司,西安,本科,25000-50000,无经验,民营,300-499人,全职
人工智能工程师,人工智能,AI算法应用工程师,山东秋淇分析仪器有限公司,西安,本科,10000-20000,3-5年,股份制企业,,全职
人工智能工程师,人工智能,算法工程师（图像处理方向）,,西安,本科,15000-20000,3-5年,上市公司,100-299人,全职
人工智能工程师,人工智能,数据分析与机器学习工程师,山东秋淇分析仪器有限公司,西安,本科,9000-15000,3-5年,,,全职
人工智能工程师,人工智能,遥感数据预处理工程师,西安空天能源动力智能制造研究院有限公司,西安,硕士,10000-20000,3-5年,股份制企业,100-299人,实习
人工智能工程师,人工智能,图像算法工程师,,西安,硕士,14000-18000,1-3年,民营,,实习
人工智能工程师,人工智能,计算机视觉算法工程师,陕西海嵘工程科技集团股份有限公司,西安,硕士,15000-25000,3-5年,股份制企业,100-299人,全职
人工智能工程师,人工智能,智能算法工程师（集群方向）(J10003),,西安,硕士,15000-30000,3-5年,民营,,全职
人工智能工程师,人工智能,机器视觉工程师,陕西海嵘工程科技集团股份有限公司,西安,本科,7000-11000,1年以下,民营,300-499人,全职
人工智能工程师,人工智能,算法工程师,西安羚控电子科技有限公司,西安,本科,15000-20000,1-3年,民营,,全职
人工智能工程师,人工智能,销售主管,,西安,本科,7000-10000,3-5年,股份制企业,100-299人,全职
人工智能工程师,人工智能,算法工程师,西安羚控电子科技有限公司,西安,本科,20000-30000,3-5年,民营,,全职
人工智能工程师,人工智能,传感器融合与规划软件研发工程师,西安启维机电有限公司,西安,硕士,15000-26000,5-10年,民营,500-999人,全职
人工智能工程师,人工智能,算法工程师,,西安,硕士,10000-18000,1-3年,股份制企业,,全职
人工智能工程师,人工智能,算法工程师（可兼职）【西安】,西安启维机电有限公司,西安,大专,15000-18000,5-10年,民营,100-299人,全职
人工智能工程师,人工智能,医疗/工业成像AI算法工程师（探测器智能化方向）,山西科达自控股份有限公司,西安,大专,17000-25000,3-5年,民营,,全职
人工智能工程师,人工智能,汽车电子-算法工程师-雷达-西安,,西安,本科,15000-25000,3-5年,上市公司,20-99人,全职
人工智能工程师,人工智能,算法工程师（工软公司） (MJ004705),山西科达自控股份有限公司,西安,本科,15000-17000,无经验,上市公司,,全职
人工智能工程师,人工智能,西安办事处客户代表、客户经理,西安精美达印刷科技有限公司,西安,本科,7000-10000,1-3年,民营,20-99人,全职
人工智能工程师,人工智能,雷达算法工程师,,西安,本科,17000-30000,1-3年,国企,,全职
人工智能工程师,人工智能,专利工程师,西安精美达印刷科技有限公司,西安,硕士,7000-9000,3-5年,民营,100-299人,全职
